lgID,teamID,team_name
NL,ARI,Arizona Diamondbacks
NL,ATL,Atlanta Braves
AL,BAL,Baltimore Orioles
AL,BOS,Boston Red Sox
AL,CHA,Chicago White Sox
NL,CHN,Chicago Cubs
NL,CIN,Cincinnati Reds
AL,CLE,Cleveland Indians
NL,COL,Colorado Rockies
AL,DET,Detroit Tigers
AL,HOU,Houston Astros
AL,KCA,Kansas City Royals
AL,LAA,Los Angeles Angels of Anaheim
NL,LAN,Los Angeles Dodgers
NL,MIA,Florida Marlins
NL,MIL,Milwaukee Brewers
AL,MIN,Minnesota Twins
AL,NYA,New York Yankees
NL,NYN,New York Mets
AL,OAK,Oakland Athletics
NL,PHI,Philadelphia Phillies
NL,PIT,Pittsburgh Pirates
NL,SDN,San Diego Padres
AL,SEA,Seattle Mariners
NL,SFN,San Francisco Giants
NL,SLN,St. Louis Cardinals
AL,TBA,Tampa Bay Rays
AL,TEX,Texas Rangers
AL,TOR,Toronto Blue Jays
NL,WAS,Washington Nationals
