date,AAPL_open,AMZN_open,GME_open,KO_open,TSLA_open,VZ_open
2020-09-01,132.759995,3489.580078,7.3,49.310001,502.140015,59.119999
2020-09-02,137.589996,3547,7.8,49.360001,478.98999,59.150002
2020-09-03,126.910004,3485,7.88,51.400002,407.230011,60.830002
2020-09-04,120.07,3318,7.78,50.939999,402.809998,60.48
2020-09-08,113.949997,3144,7.55,50.93,356,60.799999
2020-09-09,117.260002,3202.98999,7.96,49.599998,356.600006,60.119999
2020-09-10,120.360001,3307.219971,6.65,50.349998,386.209991,60.23
2020-09-11,114.57,3208.689941,6.26,50.400002,381.940002,59.580002
2020-09-14,114.720001,3172.939941,6.8,50.970001,380.950012,60.02
2020-09-15,118.330002,3136.159912,6.86,51,436.559998,60.110001
2020-09-16,115.230003,3179.98999,7.03,50.950001,439.869995,60.529999
2020-09-17,109.720001,3009.25,8.57,50.220001,415.600006,60.599998
2020-09-18,110.400002,3031.73999,9.2,50.75,447.940002,60.18
2020-09-21,104.540001,2906.5,9.35,49.75,453.130005,60
2020-09-22,112.68,3033.840088,10.45,49.110001,429.600006,59.73
2020-09-23,111.620003,3120.429932,10.6,49.73,405.160004,59.830002
2020-09-24,105.169998,2977.790039,9.71,48.209999,363.799988,59
2020-09-25,108.43,3054.860107,9.19,48.200001,393.470001,58.849998
2020-09-28,115.010002,3148.850098,10.16,49.310001,424.619995,59.560001
2020-09-29,114.550003,3175.389893,10,49.389999,416,59.279999
2020-09-30,113.790001,3141.139893,10.25,49.27,421.320007,59.459999
2020-10-01,117.639999,3208,10.09,49.439999,440.76001,59.400002
2020-10-02,112.889999,3153.629883,9.38,48.759998,421.390015,59.290001
2020-10-05,113.910004,3145.840088,9.44,49.43,423.350006,59.630001
2020-10-06,115.699997,3165,9.56,49.549999,423.790009,59.759998
2020-10-07,114.620003,3135,9.23,49.02,419.869995,59.619999
2020-10-08,116.25,3224.98999,9.54,49.709999,438.440002,59.119999
2020-10-09,115.279999,3210,12.83,50.669998,430.130005,59.25
2020-10-12,120.059998,3349.939941,11.66,50.84,442,59.330002
2020-10-13,125.269997,3467.98999,11.73,50.990002,443.350006,59.700001
2020-10-14,121,3447,12.67,50.049999,449.779999,59.459999
2020-10-15,118.720001,3292.01001,11.99,49.400002,450.309998,58.110001
2020-10-16,121.279999,3363.22998,13.77,49.990002,454.440002,58.080002
2020-10-19,119.959999,3299.610107,13.44,50.029999,446.23999,58.150002
2020-10-20,116.199997,3222.280029,14.03,49.889999,431.75,57.540001
2020-10-21,116.669998,3212.5,13.9,49.959999,422.700012,57.110001
2020-10-22,117.449997,3189.870117,14.2,51.169998,441.920013,56.93
2020-10-23,116.389999,3191,15.05,51,421.839996,57.75
